,index,0
0,zh-cn,0.7194280330472819
1,ko,0.15571269680921623
2,en,0.10559416060380336
3,ro,0.0024999744900562238
4,fr,0.002261881681479441
5,zh-tw,0.002153039254701483
6,Nan,0.0018129066710203638
7,es,0.0014693727615024336
8,pl,0.0011190362003108813
9,de,0.0009795818410016225
10,so,0.000935364605123077
11,ru,0.0008231208525083078
12,vi,0.000809515549161063
13,no,0.0007482916840984616
14,ja,0.0006326466056468811
15,af,0.0003707445162124196
16,it,0.00034693523535474127
17,pt,0.0003095206511498182
18,cs,0.00020748087604548253
19,ca,0.00019047424686142658
20,nl,0.00017346761767737063
21,da,0.00017006629184055944
22,sk,0.00017006629184055944
23,tl,0.0001530596626565035
24,sw,0.000125849055962014
25,et,0.0001224477301252028
26,cy,0.00011904640428839162
27,id,9.523712343071329e-05
28,hr,8.163182008346853e-05
29,th,7.142784257303498e-05
30,sv,4.4217235878545456e-05
31,lt,4.0815910041734266e-05
32,fi,4.0815910041734266e-05
33,tr,3.7414584204923076e-05
34,hu,3.401325836811189e-05
35,sl,2.7210606694489513e-05
36,lv,2.0407955020867133e-05
37,sq,1.7006629184055946e-05
38,bg,1.3605303347244756e-05
39,ar,1.0203977510433567e-05
40,uk,6.802651673622378e-06
41,el,6.802651673622378e-06
42,he,6.802651673622378e-06
43,fa,3.401325836811189e-06
44,gu,3.401325836811189e-06
