,index,0
0,en,0.550341293559836
1,zh-cn,0.25612216296027257
2,ko,0.14609890999245956
3,fr,0.006817975452130074
4,ja,0.00523093078985081
5,zh-tw,0.005207243556085448
6,so,0.0038610191037540317
7,ro,0.003742582934927221
8,de,0.0027793020951358267
9,es,0.0024476808224207563
10,Nan,0.0020371021038211455
11,ru,0.0018594478505809294
12,af,0.0017094287034003024
13,th,0.0014133382813332753
14,pl,0.0012633191341526484
15,vi,0.0010659255194412972
16,cs,0.0008645840324357188
17,it,0.0008408967986703566
18,nl,0.0007895744588454053
19,no,0.0007224606298435458
20,id,0.0007224606298435458
21,ca,0.0006987733960781837
22,pt,0.0004776925476014702
23,tl,0.0004737446753072432
24,cy,0.00038294361254002154
25,da,0.000300038294361254
26,sv,0.0002842468051843459
27,sk,0.00027635106059589184
28,et,0.0002092372315940324
29,fi,0.00018949787012289727
30,sw,0.00018160212553444322
31,hr,0.00013817553029794592
32,hu,0.00012238404112103782
33,tr,8.290531817876755e-05
34,sl,7.106170129608647e-05
35,lt,5.527021211917837e-05
36,lv,4.737446753072432e-05
37,sq,4.342659523649729e-05
38,uk,7.895744588454053e-06
39,el,7.895744588454053e-06
40,bg,7.895744588454053e-06
41,ar,3.9478722942270264e-06
